ModelName	Race	Class	Type	ChallengeRating	Antal	Arctic	Caves	Coastal	Desert	Fiery	Forest	Grassland	Hill	Mountain	Ocean	Swamp	Underdark	Underwater	Urban											
Banned Cthulhufolk	Humanoid or Aberration	Varies	Humanoid or Aberration	99	1														
Nothail	Aberration or Monstrosity	Varies	Aberration or Monstrosity	99	1														
Ziadtroks, Elder Watcher	Aberration	Varies	Aberration	99	1														
Hendrik Greenhilt					1														
Boris Pummeler		Dwarf			1														
Jeanne Byrne					1														
Ghost of Brienne Crimson	Undead	Ghost	Undead	4	1														
Loup Garou	Humanoid	Werewolf	Humanoid	5	1														
Werewolf	Humanoid	Werewolf	Humanoid	3	1														
Wild Werewolf	Humanoid	Werewolf	Humanoid	4	1														
Saevel Sylharice	Elf	Ranger	Humanoid		1														
Mezlcoatl					1														
King Arthur VII, the Unwavering					1														
Bandit Captain	Humanoid	Captain	Humanoid	2	1														
Eyegouger Guardian Drake	Dragon	Drake	Dragon	4	1														
Gnome Crossbowman	Humanoid	Archer	Humanoid	0.5	1														
Sgt Sleezy Sam	Humanoid	Fighter	Humanoid	1	1														
Skulking Rogue	Humanoid	Rogue	Humanoid	0.5	1														
Smiling Debra the Cruel	Humanoid	Warrior	Humanoid	2	1														
Bratuk, StandingMountain					1														
Aunty Gremeth EverYouth	Humanoid	Witch or Sorcerer	Fey or Humanoid	4	1														
Glutandur, Venom Dragon	Dragon	Dragon	Dragon	7	1														
Eililys, Master Herbologist	Gnome	Druid	Humanoid		1						1								
Oliver, Illusionist Apprentice	Human	Wizard	Humanoid	3	1														
Boitata, Fire Snake	Monstrosity or Beast	Snake	Beast	3	1,5														
Boitata, Fire Snake (50%)	Monstrosity or Beast	Snake	Beast	3	5														
Smoke Elemental Unicorn	Elemental	Elemental	Elemental	5	1														
Danny Lanone					1														
Roldan Frostgrief					1														
Rainbow Hawk	Beast or Elemental	Hawk	Beast or Elemental	0,5	1														
Oni Brute	Fiend or Giant	Oni	Fiend or Giant	4	1														
Usgrit Dragonslayer					1														
Ettin Zombie	Undead	Zombie	Undead	5	1														
Grave Scavenger	Undead	Scavenger	Undead	2	1														
Kuatze, Dragonborn Lich	Undead	Lich	Undead	8	1														
Malaphar, the Deathbringer	Undead	Warlock or Sorcerer	Undead	7	1														
Reanimated Dwarven Fighter	Undead	Fighter	Undead	3	1														
Reanimated Orc Barbarian	Undead	Barbarian	Undead	3	1														
Reanimated Ranger	Undead	Ranger	Undead	3	3														
Reanimated Wizard	Undead	Wizard	Undead	4	2														
Skeleton Arbalist	Undead	Archer	Undead	2	4														
Skeleton Infantry	Undead	Warrior	Undead	0,25	3														
Eve Fargrace Pose 2					1														
Niman Lighthammer					1														
Triceratops	Beast	Dinosaur	Beast	5	1														
Pterodactyl	Beast	Dinosaur	Beast	1	1														
Velociraptor	Beast	Dinosaur	Beast	2	1														
Ankylosaurus	Beast	Dinosaur	Beast	3	1														
Tyrannosaurus	Beast	Dinosaur	Beast	8	1														
Ancient Raptor	Beast	Dinosaur	Beast	3	1														
Dilophosaurus	Beast	Dinosaur	Beast	2	1														
Eoraptor Cluster	Beast	Dinosaur	Beast	2	1														
Parasaurolophus Saddle	Beast	Dinosaur	Beast	3	1														
Triceratops Saddle	Beast	Dinosaur	Beast	5	1														
The Unstoppable Angus					1														
Solo Act Olov					1														
The Sharpshooter Chiara					1														
Gorya, the Berserker	Catfolk	Barbarian	Humanoid		1														
Mania, Lady of Desire	Humanoid or Fey	Sorcerer or Enchantress	Humanoid or Fey	5	1														
Erosius, Lord of Passion	Humanoid or Fey	Bard or Enchanter	Humanoid or Fey	5	1														
Maximus, Merciless Gladiator					1														
Rhys, the Burnt Fighter					1														
Vanchu Hellrider					1														
Bright-Winged Angel	Celestial	Angel	Celestial	6	1														
Lava Horror	Elemental or Fiend	Horror	Elemental	4	1														
Morningstar Angel	Celestial	Angel	Celestial	7	1														
Odi’ram, Lord of Rage	Fiend or Giant	Lord	Fiend or Giant	6	1														
Archangel Azazel					1														
Gorok, the Deadeye	Half-orc	Ranger	Humanoid		1														
Herkas Oaksword	Firbolg	Fighter			1														
Satrix Wildshine	Halfling	Sorcerer			1														
Uten Ironhearth					1														
Headsplitter					1														
Galjin	Dwarf				1														
Goober					1														
Alphariox, Dragon Forebearer	Dragon	Dragon	Dragon	10	1														
Ungor Boom, Battlefire General	Humanoid	General	Humanoid	8	1														
Brom Tricksleeves					1														
Buffo					1														
Cadriel Burning Light	Celestial	Angel	Celestial	6	1														
Beast					2														
Bone Naga					1														
Bran Tamran	Human	Ranger	Humanoid		1														
Clay Golem					1														
Igan Galanodel					1														
Sila					1														
Pack of Rats					1														
Peter Bo					1														
Goblin Archer					1														
Goblin Fighter					1														
Goblin Shaman					1														
Weretiger			Humanoid		1														
Dwarf Monk 2					1														
ArmoredWarrior_SwordDoubleHanded					1														
Wolf Action					1														
Wolf Casual					6														
Knight Supplicant Quinn	Human				1														
Cliph Aphma	Human				1														
Cliph Terothna	Filloir				1														
Faustus Avatar of Pride	Demon				1														
Athos, Charming Scoundrel	Catfolk	Rogue	Humanoid		1														
Will-O-Wisp	Undead			2	3														
Wendigo Horror			Monstrosity		1														
Zendel Coldheart, the Ice Queen	Human	Sorcerer	Humanoid		1														
Isolde Daelyn	Elf	Ranger	Humanoid		1														
Priya Flamestar	Genasi	Cleric	Humanoid		1														
Cinder, the Forgeborn	Battleforged	Warrior	Humanoid		1														
Acoria Nakar	Dragonborn	Barbarian	Humanoid		1														
Gardain					1														
GoldenHorn					1														
Ravenous Bulette			Monstrosity	6	2														
Amanda Bloodletter	Half-Orc	Rogue	Humanoid		1														
Nortle	Turtlefolk	Monk	Humanoid		1														
Half Orc Brute	Half-Orc	Barbarian	Humanoid	3	1														
Orc Warrior – Male	Orc	Barbarian	Humanoid	0,5	1														
Gron, the Grand	Hobgoblin	Warrior	Goblinoid	5	1														
Fire Striker	Hobgoblin	Fighter	Goblinoid	2	1														
Shadow Binder	Hobgoblin	Warlock	Goblinoid	4	1														
Ughra Hailbreaker	Orc	Barbarian	Humanoid		1														
Garver Mosshands	Halfling	Sorcerer	Humanoid		1														
Iaros Gloomstar	Tiefling	Warlock	Humanoid		1														
Soft Dagger	Catfolk	Rogue	Humanoid		1														
Prince of the Void	Demon		Fiend	20	1														
Lord Gaspard, the Parasyte	Human	Warlock	Humanoid	13	1														
Cormah Shasan 4	Elf	Druid	Humanoid		1														
Sunathaer Caex 4	Dragonborn	Fighter	Humanoid		1														
White Wolf	Beast		Beast		1														
Shadow 1	Undead		Undead	0,5	3														
Shadow 2	Undead		Undead	0,5	3														
Vanchu Spinebreaker Expedition to the Underworld	Half-Orc	Barbarian	Humanoid		1														
Octus			Aberration	2	3														
Male Merrow			Monstrosity	2	1														
Darkray			Monstrosity	1	3														
Banzan Hill	Human	Monk	Humanoid		1														
Nymph			Fey	1	1														
Alexandra Uthgarde	Human	Paladin	Humanoid		3														
Brocc “Badger” Garrick	Gnome	Barbarian	Humanoid		1														
Summoning Cultist	Human	Wizard	Humanoid	3	1														
Izat’al, human form	Human	Fighter	Humanoid	30	1														
Oweyn, the Dread Mountain	Human	Barbarian	Humanoid	13	1														
Abras Eleram	Human	Wizard	Humanoid	13	1														
Azure Riverbend	Genasi	Sorcerer	Humanoid		1														
Risen Funghi			Undead	2	2														
Giant Spider					6														
Meranda Stoneroar	Dwarf	Cleric	Humanoid	4	1														
Rorir Cavalieri	Dwarf	Fighter	Humanoid	4	1														
