Monster	Level	Role	Source	Page	Rank	Base Role
Arbalester	4	Artillery	Draconomicon 1	98	Standard	Artillery
Blazewyrm, Young	4	Elite Brute	Draconomicon 1	191	Elite	Brute
Blue Dragon Wyrmling	4	Elite Artillery	Draconomicon 1	180	Elite	Artillery
Brownspawn Marauder	4	Skirmisher	Draconomicon 1	218	Standard	Skirmisher
Faerie Dragon Flitterwing, Adult	4	Skirmisher	Draconomicon 1	195	Standard	Skirmisher
Faerie Dragon Windgleam, Adult	4	Lurker	Draconomicon 1	196	Standard	Lurker
Green Dragon Wyrmling	4	Elite Skirmisher	Draconomicon 1	183	Elite	Skirmisher
Hobbler Decoy	4	Skirmisher	Draconomicon 1	224	Standard	Skirmisher
Purple Dragon Wyrmling	4	Elite Controller	Draconomicon 1	184	Elite	Controller
Stone Harrier	4	Controller	Draconomicon 1	98	Standard	Controller
Wyrm-Wisp	4	Skirmisher	Draconomicon 1	204	Standard	Skirmisher
Wyrmwarped Atrocity	4	Brute	Draconomicon 1	225	Standard	Brute
Brass Dragon, Young	4	Solo Artillery	Draconomicon 2	156	Solo	Artillery
Chevkos 's Guard	4	Soldier	Draconomicon 2	94	Standard	Soldier
Chevkos's Cmssbownian	4	Artillery	Draconomicon 2	94	Standard	Artillery
Cheykos's Lackey	4	Minion Skirmisher	Draconomicon 2	94	Minion	Skirmisher
Copper Dragon Wyrmling	4	Elite Skirmisher	Draconomicon 2	177	Elite	Skirmisher
Eh raeslik	4	Solo Lurker	Draconomicon 2	90	Solo	Lurker
Karmic Draconian	4	Lurker	Draconomicon 2	192	Standard	Lurker
Mercury Dragon Wyrmling	4	Elite Lurker	Draconomicon 2	180	Elite	Lurker
Cavern Choker	4	Lurker	Monster Manual 1	42	Standard	Lurker
Corruption Corpse (Zombie)	4	Artillery	Monster Manual 1	274	Standard	Artillery
Dark Creeper (Dark One)	4	Skirmisher	Monster Manual 1	49	Standard	Skirmisher
Deathjump Spider	4	Skirmisher	Monster Manual 1	246	Standard	Skirmisher
Deathlock Wight	4	Controller	Monster Manual 1	262	Standard	Controller
Dwarf Bolter	4	Artillery	Monster Manual 1	97	Standard	Artillery
Ettercap Fang Guard	4	Soldier	Monster Manual 1	107	Standard	Soldier
Fey Panther	4	Skirmisher	Monster Manual 1	213	Standard	Skirmisher
Goblin Underboss	4	Elite Controller	Monster Manual 1	138	Elite	Controller
Greenscale Hunter (Lizardfolk)	4	Skirmisher	Monster Manual 1	178	Standard	Skirmisher
Human Berserker	4	Brute	Monster Manual 1	163	Standard	Brute
Human Mage	4	Artillery	Monster Manual 1	163	Standard	Artillery
Kobold Slyblade	4	Lurker	Monster Manual 1	169	Standard	Lurker
Kruthik Adult	4	Brute	Monster Manual 1	170	Standard	Brute
Magma Claw (Magma Beast)	4	Brute	Monster Manual 1	182	Standard	Brute
Magma Hurler (Magma Beast)	4	Artillery	Monster Manual 1	182	Standard	Artillery
Orc Berserker	4	Brute	Monster Manual 1	203	Standard	Brute
Phantom Warrior (Ghost)	4	Soldier	Monster Manual 1	116	Standard	Soldier
Rotwing Zombie	4	Skirmisher	Monster Manual 1	274	Standard	Skirmisher
Specter	4	Lurker	Monster Manual 1	244	Standard	Lurker
Visejaw Crocodile	4	Soldier	Monster Manual 1	45	Standard	Soldier
Young Black Dragon	4	Solo Lurker	Monster Manual 1	75	Solo	Lurker
Arbalester (Homunculus)	4	Artillery	Monster Manual 2	143	Standard	Artillery
Barghest Savager	4	Brute	Monster Manual 2	20	Standard	Brute
Bloodseeker Drake	4	Soldier	Monster Manual 2	88	Standard	Soldier
Centipede Scuttler	4	Skirmisher	Monster Manual 2	33	Standard	Skirmisher
Duergar Guard	4	Soldier	Monster Manual 2	92	Standard	Soldier
Duergar Scout	4	Lurker	Monster Manual 2	92	Standard	Lurker
Green Slime (Ooze)	4	Lurker	Monster Manual 2	171	Standard	Lurker
Kenku Ringleader	4	Soldier	Monster Manual 2	152	Standard	Soldier
Kenku Sneak	4	Lurker	Monster Manual 2	153	Standard	Lurker
Krenshar	4	Controller	Monster Manual 2	155	Standard	Controller
Myconid Guard	4	Soldier	Monster Manual 2	164	Standard	Soldier
Myconid Sovereign	4	Controller	Monster Manual 2	164	Standard	Controller
Storm Shard	4	Artillery	Monster Manual 2	34	Standard	Artillery
Winged Drone (Ant)	4	Skirmisher	Monster Manual 2	12	Standard	Skirmisher
Witherling	4	Skirmisher	Monster Manual 2	212	Standard	Skirmisher
Cave Fisher Line Spiker	4	Minion Artillery	Monster Manual 3	29	Minion	Artillery
Craud Crusher	4	Brute	Monster Manual 3	37	Standard	Brute
Earthquake Dragon Wyrmling	4	Soldier	Monster Manual 3	69	Standard	Soldier
Great Ape	4	Skirmisher	Monster Manual 3	10	Standard	Skirmisher
Hex Knight	4	Soldier	Monster Manual 3	38	Standard	Soldier
Jackalwere Deceiver	4	Controller	Monster Manual 3	121	Standard	Controller
Rot Grub Swarm	4	Brute	Monster Manual 3	166	Standard	Brute
Spiderling	4	Minion Skirmisher	Monster Manual 3	182	Minion	Skirmisher
Wilden Ancient	4	Artillery	Monster Manual 3	207	Standard	Artillery
Yeti Howler	4	Controller	Monster Manual 3	211	Standard	Controller
Myconid Gas Spore	4	Minion Skirmisher	Underdark	151	Minion	Skirmisher
Dragonkin Sentry	5	Skirmisher	Draconomicon 1	226	Standard	Skirmisher
Gray Dragon, Young	5	Solo Soldier	Draconomicon 1	172	Solo	Soldier
Red Dragon Wyrmling	5	Elite Soldier	Draconomicon 1	185	Elite	Soldier
Wrack Abishai	5	Lurker	Draconomicon 1	210	Standard	Lurker
Adamantine Dragon Wyrmling	5	Elite Soldier	Draconomicon 2	174	Elite	Soldier
Cobalt Dragon, Young	5	Solo Controller	Draconomicon 2	161	Solo	Controller
Dragonkin Channeler (Kobold)	5	Controller	Draconomicon 2	198	Standard	Controller
Houk Draconian	5	Artillery	Draconomicon 2	191	Standard	Artillery
Silver Dragon Wyrmling	5	Elite Brute	Draconomicon 2	183	Elite	Brute
Zealot (Kobold)	5	Lurker	Draconomicon 2	198	Standard	Lurker
Blazing Skeleton	5	Artillery	Monster Manual 1	234	Standard	Artillery
Boneshard Skeleton	5	Brute	Monster Manual 1	235	Standard	Brute
Bugbear Warrior (Goblin)	5	Brute	Monster Manual 1	135	Standard	Brute
Deathrattle Viper (Snake)	5	Brute	Monster Manual 1	240	Standard	Brute
Dire Wolf	5	Skirmisher	Monster Manual 1	264	Standard	Skirmisher
Dwarf Hammerer	5	Soldier	Monster Manual 1	97	Standard	Soldier
Ettercap Webspinner	5	Controller	Monster Manual 1	107	Standard	Controller
Fire Bat	5	Skirmisher	Monster Manual 1	27	Standard	Skirmisher
Gelatinous Cube (Ooze)	5	Elite Brute	Monster Manual 1	202	Elite	Brute
Greenscale Darter (Lizardfolk)	5	Lurker	Monster Manual 1	178	Standard	Lurker
Hippogriff (Griffon)	5	Skirmisher	Monster Manual 1	146	Standard	Skirmisher
Hippogriff Dreadmount	5	Soldier	Monster Manual 1	146	Standard	Soldier
Hobgoblin Commander	5	Soldier	Monster Manual 1	140	Standard	Soldier
Orc Eye of Gruumsh	5	Controller	Monster Manual 1	204	Standard	Controller
Rage Drake	5	Brute	Monster Manual 1	92	Standard	Brute
Slaad Tadpole	5	Lurker	Monster Manual 1	237	Standard	Lurker
Tangler Beetle	5	Controller	Monster Manual 1	30	Standard	Controller
Vine Horror	5	Controller	Monster Manual 1	260	Standard	Controller
Wight	5	Skirmisher	Monster Manual 1	262	Standard	Skirmisher
Wraith	5	Lurker	Monster Manual 1	266	Standard	Lurker
Young Green Dragon	5	Solo Skirmisher	Monster Manual 1	80	Solo	Skirmisher
Duergar Theurge	5	Controller	Monster Manual 2	93	Standard	Controller
Eladrin Arcane Archer	5	Artillery	Monster Manual 2	96	Standard	Artillery
Hive Queen (Ant)	5	Elite Controller	Monster Manual 2	13	Elite	Controller
Kenku Wing Mage	5	Artillery	Monster Manual 2	153	Standard	Artillery
Krenshar Blood Slayer	5	Brute	Monster Manual 2	155	Standard	Brute
Chitine Grunt	5	Minion Brute	Monster Manual 3	31	Minion	Brute
Chitine Scout	5	Artillery	Monster Manual 3	32	Standard	Artillery
Chitine Warrior	5	Brute	Monster Manual 3	31	Standard	Brute
Craud King	5	Soldier	Monster Manual 3	37	Standard	Soldier
Dread Marauder	5	Skirmisher	Monster Manual 3	75	Standard	Skirmisher
Fire Lord Cultist	5	Minion Brute	Monster Manual 3	114	Minion	Brute
Gremlin Deceiver	5	Controller	Monster Manual 3	106	Standard	Controller
Shadow Bolter	5	Artillery	Monster Manual 3	39	Standard	Artillery
Silverback Ape	5	Brute	Monster Manual 3	11	Standard	Brute
Skulk Hunter	5	Soldier	Monster Manual 3	177	Standard	Soldier
Spring Nymph	5	Controller	Monster Manual 3	151	Standard	Controller
Yeti Rampager	5	Skirmisher	Monster Manual 3	211	Standard	Skirmisher
Dark Creeper Necromancer	5	Elite Skirmisher	Underdark	55	Elite	Skirmisher
Ixitxachitl Priest	5	Controller	Demonomicon	119	Standard	Controller
Ambush Drake	6	Skirmisher	Draconomicon 1	222	Standard	Skirmisher
Dragonkin Defender	6	Soldier	Draconomicon 1	226	Standard	Soldier
Hobbler Trap Savant	6	Controller	Draconomicon 1	224	Standard	Controller
Pact-Bound Adept	6	Artillery	Draconomicon 1	227	Standard	Artillery
Purple Dragon, Young	6	Solo Controller	Draconomicon 1	177	Solo	Controller
Swarmtongue Worm	6	Skirmisher	Draconomicon 1	213	Standard	Skirmisher
Venomous Abishai	6	Controller	Draconomicon 1	210	Standard	Controller
Wyrmwarped Scaleshaper	6	Controller	Draconomicon 1	225	Standard	Controller
Adamaaz Draconian	6	Soldier	Draconomicon 2	189	Standard	Soldier
Cave Stirge Swarm	6	Brute	Draconomicon 2	104	Standard	Brute
Chevkos	6	Artillery	Draconomicon 2	96	Standard	Artillery
Korzinalikur	6	Elite Skirmisher	Draconomicon 2	96	Elite	Skirmisher
Mercury Dragon, Young	6	Solo Lurker	Draconomicon 2	163	Solo	Lurker
Orium Dragon Wyrmling	6	Elite Soldier	Draconomicon 2	182	Elite	Soldier
Wyrmling Vaporous Serpent	6	Minion Brute	Draconomicon 2	182	Minion	Brute
Blackscale Bruiser (Lizardfolk)	6	Brute	Monster Manual 1	179	Standard	Brute
Bugbear Strangler (Goblin)	6	Lurker	Monster Manual 1	136	Standard	Lurker
Cave Bear	6	Elite Brute	Monster Manual 1	29	Elite	Brute
Chillborn Zombie	6	Soldier	Monster Manual 1	275	Standard	Soldier
Dire Boar	6	Brute	Monster Manual 1	35	Standard	Brute
Evistro (Carnage Demon)	6	Brute	Monster Manual 1	54	Standard	Brute
Greenscale Marsh Mystic	6	Controller	Monster Manual 1	179	Standard	Controller
Halfling Prowler	6	Lurker	Monster Manual 1	153	Standard	Lurker
Harpy	6	Controller	Monster Manual 1	154	Standard	Controller
Iron Cobra (Homunculus)	6	Skirmisher	Monster Manual 1	157	Standard	Skirmisher
Kruthik Hive Lord	6	Elite Controller	Monster Manual 1	170	Elite	Controller
Longtooth Hunter (Shifter)	6	Soldier	Monster Manual 1	233	Standard	Soldier
Mad Wraith	6	Controller	Monster Manual 1	266	Standard	Controller
Sahuagin Raider	6	Soldier	Monster Manual 1	224	Standard	Soldier
Shadar-Kai Chainfighter	6	Skirmisher	Monster Manual 1	230	Standard	Skirmisher
Shadar-Kai Gloomblade	6	Lurker	Monster Manual 1	230	Standard	Lurker
Shadow Hound	6	Skirmisher	Monster Manual 1	160	Standard	Skirmisher
Tiefling Heretic	6	Artillery	Monster Manual 1	250	Standard	Artillery
Troglodyte Mauler	6	Soldier	Monster Manual 1	252	Standard	Soldier
Warforged Captain	6	Soldier	Monster Manual 1	261	Standard	Soldier
Young Blue Dragon	6	Solo Artillery	Monster Manual 1	78	Solo	Artillery
Bone Crown Behemoth	6	Soldier	Monster Manual 3	20	Standard	Soldier
Chitine Marauder	6	Skirmisher	Monster Manual 3	32	Standard	Skirmisher
Chitine Web Crafter	6	Controller	Monster Manual 3	33	Standard	Controller
Dread Archer	6	Artillery	Monster Manual 3	75	Standard	Artillery
Ghast	6	Brute	Monster Manual 3	95	Standard	Brute
Servant of the Fire Lord	6	Skirmisher	Monster Manual 3	115	Standard	Skirmisher
Shard mind Warseeker	6	Soldier	Monster Manual 3	174	Standard	Soldier
Thri-Kreen Ambusher	6	Lurker	Monster Manual 3	192	Standard	Lurker
Rutterkin Foot Soldier	6	Soldier	Demonomicon	141	Standard	Soldier
Dragonborn Exemplar of Tiamat	7	Elite Soldier	Draconomicon 1	214	Elite	Soldier
Hoard Scarab Larva Swarm	7	Lurker	Draconomicon 1	212	Standard	Lurker
Storm Abishai	7	Artillery	Draconomicon 1	211	Standard	Artillery
Bronze Dragon, Young	7	Solo Brute	Draconomicon 2	159	Solo	Brute
Gold Dragon Wyrmling	7	Elite Controller	Draconomicon 2	179	Elite	Controller
Bloodweb Spider Swarm	7	Soldier	Monster Manual 1	246	Standard	Soldier
Cacklefiend Hyena	7	Brute	Monster Manual 1	166	Standard	Brute
Carrion Crawler	7	Controller	Monster Manual 1	40	Standard	Controller
Crimson Acolyte (Orcus)	7	Skirmisher	Monster Manual 1	210	Standard	Skirmisher
Dire Stirge	7	Lurker	Monster Manual 1	248	Standard	Lurker
Eladrin Fey Knight	7	Soldier	Monster Manual 1	102	Standard	Soldier
Grick	7	Brute	Monster Manual 1	145	Standard	Brute
Griffon	7	Brute	Monster Manual 1	147	Standard	Brute
Howling Hag	7	Controller	Monster Manual 1	150	Standard	Controller
Orc Bloodrager	7	Elite Brute	Monster Manual 1	204	Elite	Brute
Otyugh	7	Soldier	Monster Manual 1	211	Standard	Soldier
Razorclaw Stalker (Shifter)	7	Skirmisher	Monster Manual 1	233	Standard	Skirmisher
Satyr Rake	7	Skirmisher	Monster Manual 1	228	Standard	Skirmisher
Shadar-Kai Witch	7	Controller	Monster Manual 1	231	Standard	Controller
Tiefling Darkblade	7	Lurker	Monster Manual 1	250	Standard	Lurker
Troglodyte Impaler	7	Artillery	Monster Manual 1	252	Standard	Artillery
Vine Horror Spellfiend	7	Artillery	Monster Manual 1	260	Standard	Artillery
Young Red Dragon	7	Solo Soldier	Monster Manual 1	82	Solo	Soldier
Fire Temple Elect	7	Minion Skirmisher	Monster Manual 3	115	Minion	Skirmisher
Foulspawn Wretch	7	Minion Skirmisher	Monster Manual 3	88	Minion	Skirmisher
Gremlin Skulker	7	Lurker	Monster Manual 3	107	Standard	Lurker
Hyena Spirit	7	Minion Soldier	Monster Manual 3	105	Minion	Soldier
Ironstone Gargoyle	7	Skirmisher	Monster Manual 3	92	Standard	Skirmisher
Skinwing Behemoth	7	Skirmisher	Monster Manual 3	21	Standard	Skirmisher
Thri-Kreen Scout	7	Skirmisher	Monster Manual 3	193	Standard	Skirmisher
Ustilagor	7	Lurker	Monster Manual 3	118	Standard	Lurker
Young Blizzard Dragon	7	Elite Controller	Monster Manual 3	66	Elite	Controller
Ambush Drake Packleader	8	Brute	Draconomicon 1	222	Standard	Brute
Inferno Abishai	8	Elite Soldier	Draconomicon 1	211	Elite	Soldier
Onion Dragon, Young	8	Solo Soldier	Draconomicon 2	170	Solo	Soldier
Vaporous Serpent, Young	8	Minion Brute	Draconomicon 2	170	Minion	Brute
Barlgura (Demon)	8	Brute	Monster Manual 1	53	Standard	Brute
Cambion Hellsword	8	Brute	Monster Manual 1	39	Standard	Brute
Doppelganger Assassin	8	Lurker	Monster Manual 1	71	Standard	Lurker
Eladrin Twilight Incanter	8	Controller	Monster Manual 1	102	Standard	Controller
Foulspawn Grue	8	Controller	Monster Manual 1	112	Standard	Controller
Foulspawn Mangler	8	Skirmisher	Monster Manual 1	112	Standard	Skirmisher
Galeb Duhr Earthbreaker	8	Artillery	Monster Manual 1	114	Standard	Artillery
Hobgoblin Hand of Bane	8	Elite Soldier	Monster Manual 1	140	Elite	Soldier
Mummy Guardian	8	Brute	Monster Manual 1	192	Standard	Brute
Ogre Savage	8	Brute	Monster Manual 1	199	Standard	Brute
Oni Night Haunter	8	Elite Controller	Monster Manual 1	200	Elite	Controller
Orc Chieftain	8	Elite Brute	Monster Manual 1	204	Elite	Brute
Owlbear	8	Elite Brute	Monster Manual 1	212	Elite	Brute
Rot Scarab Swarm (Beetle)	8	Soldier	Monster Manual 1	30	Standard	Soldier
Sahuagin Priest	8	Artillery	Monster Manual 1	224	Standard	Artillery
Satyr Piper	8	Controller	Monster Manual 1	228	Standard	Controller
Shadar-Kai Warrior	8	Soldier	Monster Manual 1	231	Standard	Soldier
Snaketongue Warrior (Yuan-Ti)	8	Brute	Monster Manual 1	272	Standard	Brute
Trap Haunt (Ghost)	8	Lurker	Monster Manual 1	116	Standard	Lurker
Troglodyte Curse Chanter	8	Controller	Monster Manual 1	252	Standard	Controller
Werewolf (Lycanthrope)	8	Brute	Monster Manual 1	181	Standard	Brute
Zombie Hulk	8	Brute	Monster Manual 1	275	Standard	Brute
Autumn Nymph	8	Skirmisher	Monster Manual 3	151	Standard	Skirmisher
Choldrith	8	Controller	Monster Manual 3	33	Standard	Controller
Earth Cultist	8	Minion Controller	Monster Manual 3	163	Minion	Controller
Fire Temple Champion	8	Soldier	Monster Manual 3	115	Standard	Soldier
Green Arcanian	8	Artillery	Monster Manual 3	16	Standard	Artillery
Homstone Gargoyle	8	Brute	Monster Manual 3	93	Standard	Brute
Object Mimic	8	Lurker	Monster Manual 3	134	Standard	Lurker
Ogre Cave Hunter	8	Lurker	Monster Manual 3	158	Standard	Lurker
Rot Grub Zombie	8	Skirmisher	Monster Manual 3	167	Standard	Skirmisher
Runic Gargoyle	8	Soldier	Monster Manual 3	93	Standard	Soldier
Shard mind Dominator	8	Controller	Monster Manual 3	175	Standard	Controller
Thri-Kreen Desert Talker	8	Controller	Monster Manual 3	193	Standard	Controller
Demon Spawn Adept	8	Artillery	Demonomicon	110	Standard	Artillery
Wendigo Manhunter	8	Lurker	Demonomicon	152	Standard	Lurker
Lesser Fire Demon	8	Skirmisher	Demonomicon	113	Standard	Skirmisher
Guardian Demon Abomination	8	Soldier	Demonomicon	114	Standard	Soldier
Bluespawn Stormlizard	9	Brute	Draconomicon 1	219	Standard	Brute
Winged Putrescence	9	Elite Brute	Draconomicon 1	205	Elite	Brute
Dragon Wynoling	9	Elite Skirmisher	Draconomicon 2	181	Elite	Skirmisher
Vaporous Serpent	9	Minion Brute	Draconomicon 2	106	Minion	Brute
Vulture Drake	9	Brute	Draconomicon 2	194	Standard	Brute
Wyringuard Scout (Kobold)	9	Artillery	Draconomicon 2	200	Standard	Artillery
Zanathakla	9	Solo Soldier	Draconomicon 2	106	Solo	Soldier
Adult White Dragon	9	Solo Brute	Monster Manual 1	85	Solo	Brute
Battle Wight	9	Soldier	Monster Manual 1	262	Standard	Soldier
Bloodfire Harpy	9	Soldier	Monster Manual 1	154	Standard	Soldier
Bloodspike Behemoth	9	Brute	Monster Manual 1	31	Standard	Brute
Bulette	9	Elite Skirmisher	Monster Manual 1	38	Elite	Skirmisher
Crushgrip Constrictor (Snake)	9	Soldier	Monster Manual 1	240	Standard	Soldier
Deathpriest of Orcus (Orcus)	9	Controller	Monster Manual 1	210	Standard	Controller
Destrachan	9	Artillery	Monster Manual 1	59	Standard	Artillery
Displacer Beast	9	Skirmisher	Monster Manual 1	70	Standard	Skirmisher
Dryad	9	Skirmisher	Monster Manual 1	96	Standard	Skirmisher
Flame Snake	9	Artillery	Monster Manual 1	240	Standard	Artillery
